date,time,location,address,city,status,theme,description,log_file
2025-04-24,17:00–20:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2025-06-12,17:00–20:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2025-08-14,17:00–20:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2025-10-19,15:00–18:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-01-29,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-02-22,14:00–16:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-03-26,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-04-23,17:00–20:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,🌼 Getting ready for spring!,Bikes and shoes cleaning and maintenance,
2026-05-31,14:00–16:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-06-25,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-07-30,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-08-20,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-09-3,18:00–20:00,Pispalan Kirjasto,"Pispalan valtatie 21, Tampere",Tampere,upcoming,,,
2026-09-17,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-10-17,14:00–18:00,Pispalan Kirjasto,"Pispalan valtatie 21, Tampere",Tampere,upcoming,🌍 International Repair Day,Korjaus Kahvila is working with Pispalan Kirjasto to participate in International Repair Day!,
2026-10-29,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-11-26,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
2026-12-10,17:00–19:00,Kumppanuustalo Artteli,"Mustanlahdenkatu 22, Tampere",Tampere,upcoming,,,
